DELIVERY_DT,BILLTO_NAME,ORIG_AREA,DEST_AREA,LOADED_OP_MILES,TOTAL_REVENUE,TOTAL_VARIABLE_COST,TOTAL_OVERHEAD_COST
8/19/2025,MCKEE FOODS CORPORATION,AR-FAY,NV-LAS,1210.34,3876.75,1978.97,731.74
8/19/2025,GOLD BOND BUILDING PRODUCTS,MO-KAN,OK-TUL,216.72,781.5,724.77,669.03
8/19/2025,LEGGETT & PLATT INC,MO-JOP,WA-SEA,2000.46,5525.7,3129.9,2220.98
8/18/2025,R H L LOGISTICS,MS-JAC,AR-FAY,621.03,1000,983.32,635.63
8/18/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,TN-MEM,455.08,1298.46,770.22,291.77
8/18/2025,ARRIVE LOGISTICS AKA DM TRANS LLC,AL-BIR,MO-JOP,586.78,1000,1046.55,483.47
8/18/2025,ACME BRICK CO,TX-DAL,MO-JOP,360.96,775,635.19,319.8
8/18/2025,STANDARD TRANSPORTATION SERVICES INC,AZ-PHO,MO-JOP,1219.01,2400,2220.35,1209.3
8/18/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,391.74,1209.29,645.51,760.8
8/18/2025,LEGGETT & PLATT INC,MO-JOP,WI-APP,733.12,1805.27,1260.61,635.13
8/18/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,PA-PHI,1298.83,4157.63,2036.92,1890.97
8/15/2025,FLS TRANSPORTATION SERVICES INC,MO-STL,MO-JOP,326.01,650,521.36,530.47
8/15/2025,WERNER LOGISTICS,FL-MIA,AL-BIR,723.86,995,1173.71,783.13
8/15/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,MS-JAC,537.34,1566.61,980.01,603.81
8/14/2025,BATLINER PAPERSTOCK - RECYCLING,MO-JOP,OK-TUL,73.95,526.4,323.42,626.27
8/14/2025,MCKEE FOODS CORPORATION,AR-FAY,NV-LAS,1210.34,3876.75,2007.38,714.18
8/14/2025,OLDCASTLE LAWN & GARDEN MIDWEST,MO-STL,OK-TUL,317.13,650,593.28,586.06
8/14/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,MO-STL,376.79,1167.89,742.34,626.52
8/14/2025,ROAR LOGISTICS,WA-SEA,MO-KAN,1937.03,2950,3005.55,1789.86
8/13/2025,HEARTLAND LOGISTICS GROUP LLC,TN-MEM,MO-SPR,368.71,800,654.98,681.7
8/13/2025,TS WHITES LLC,AZ-PHO,MO-JOP,1244.01,2900,2272.62,1097.63
8/13/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,FL-MIA,1319.72,4328.91,2170.7,1292.2
8/13/2025,ACME BRICK CO,TX-DAL,MO-JOP,360.96,775,635.19,626.22
8/13/2025,GOLD BOND BUILDING PRODUCTS,MO-SPR,OK-TUL,148.5,673.2,310.06,308.17
8/12/2025,ACME BRICK CO,OK-OKC,MO-SPR,280.05,675,713.74,853.05
8/12/2025,BATLINER PAPERSTOCK - RECYCLING,MO-JOP,OK-TUL,74.95,546.92,309.11,504.33
8/12/2025,GOLD BOND BUILDING PRODUCTS,MO-KAN,OK-TUL,216.72,783.6,469.47,281.58
8/12/2025,PAPERWORKS C/O TRANZACT,NE-KEA,MO-JOP,445.4,1249.09,835.46,377.65
8/12/2025,DTI INC,SD-SIO,MO-STL,789.36,1600,1309.4,775.46
8/12/2025,M S W INC,MO-JOP,AR-FAY,106.77,644.8,203.15,110.3
8/12/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,TX-MCA,768.04,2612.18,1233.15,762.72
8/12/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,TN-MEM,455.08,1302.89,856.67,611.57
8/12/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,KS-TOP,374.55,956.15,681.53,594.43
8/11/2025,MCKEE FOODS CORPORATION,AR-FAY,NV-LAS,1210.34,3889,1978.97,656.86
8/11/2025,PAPERWORKS C/O TRANZACT,NE-KEA,MO-JOP,445.4,1249.09,835.46,498.62
8/11/2025,BEEMAC LOGISTICS,ID-IDA,AR-FAY,1433.39,2250,2493.2,2045.55
8/11/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,410.79,1237.5,629.48,192.02
8/11/2025,PAPERWORKS C/O TRANZACT,NE-KEA,MO-JOP,445.4,1249.09,835.46,834.09
8/11/2025,INTEGRITY EXPRESS LOGISTICS,GA-ALB,MO-SPR,978.91,1750,2029.48,1327.57
8/11/2025,MASS DEPOT,NV-LAS,MO-JOP,1366.13,2350,2254.47,1106.75
8/11/2025,LEGGETT & PLATT INC,MO-JOP,WA-SEA,2000.46,5525.7,3066.38,1810.8
8/11/2025,ARRIVE LOGISTICS AKA DM TRANS LLC,WA-SEA,OK-TUL,2100.36,3150,3325.81,2360.58
8/11/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,MO-COL,256.81,795.36,567.56,658.14
8/11/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,SD-RAP,759.41,2804.81,1155.96,1161.42
8/10/2025,ARRIVE LOGISTICS AKA DM TRANS LLC,GA-MAC,OK-TUL,957.06,1750,1544.74,1330.37
8/10/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,425.49,1236.51,651.83,676.09
8/8/2025,PAPERWORKS C/O TRANZACT,NE-KEA,MO-JOP,445.4,1249.09,835.46,569.64
8/8/2025,FREIGHTWATCH LOGISTICS,FL-ORL,GA-MAC,295.79,450,760.73,1000.53
8/8/2025,ACME BRICK CO,TX-DAL,MO-SPR,417.1,1000,720.54,620.87
8/7/2025,ACME BRICK CO,AR-LIT,OK-TUL,304.58,775,567.6,655.19
8/7/2025,MCKEE FOODS CORPORATION,AR-FAY,NV-LAS,1210.34,3889,1954.6,732.26
8/7/2025,ECHO GLOBAL LOGISTICS INC,TX-SAN,MO-JOP,635.6,1700,1018.1,757.87
8/7/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,UT-SLC,1208.77,3880.85,1839.08,973.78
8/7/2025,M S W INC,MO-JOP,OK-TUL,198.37,793.04,316.64,410.14
8/7/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,410.79,1236.04,629.48,228.32
8/7/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,410.79,1235.13,629.48,427.73
8/6/2025,PAPERWORKS C/O TRANZACT,NE-KEA,MO-JOP,445.4,1249.09,835.46,353.09
8/6/2025,AXLE LOGISTICS LLC,TX-ELP,OK-OKC,707.49,1200,1091.16,782.48
8/6/2025,FITZMARK,GA-COL,AR-LIT,519.84,1000,908.6,777.55
8/6/2025,PAPERWORKS C/O TRANZACT,NE-KEA,MO-JOP,445.4,1249.09,835.46,505.37
8/6/2025,ACME BRICK CO,AR-LIT,MO-JOP,317.67,980,587.49,318.28
8/6/2025,AXLE LOGISTICS LLC,NC-CHA,MO-JOP,954.4,1800,1608.47,1217.18
8/6/2025,ACME BRICK CO,TX-DAL,MO-JOP,360.96,775,635.19,286.07
8/6/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,MO-SPR,178.95,734.22,435.08,318.14
8/6/2025,GOLD BOND BUILDING PRODUCTS,MO-KAN,OK-TUL,216.72,783.6,544.27,537.56
8/6/2025,MASS DEPOT,NV-LAS,MO-JOP,1341.55,2350,2228.43,915.5
8/6/2025,M S W INC,MO-JOP,FL-SAR,1291.92,3681.4,2004.8,1186.81
8/5/2025,FITZMARK,GA-COL,AR-LIT,519.84,1000,908.6,584.91
8/5/2025,AXLE LOGISTICS LLC,GA-ATL,OK-TUL,764.38,1490,1294.45,880.87
8/5/2025,LEGGETT & PLATT INC,NE-KEA,MO-JOP,446.23,1500.14,679.87,489.06
8/5/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,410.79,1239.84,661.37,274.74
8/5/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,411.79,1239.38,669.49,468.24
8/5/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,TX-SAN,820.6,2171.5,1309.92,683.47
8/5/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,FL-SAR,1520.27,4681.98,2324.49,1232.01
8/5/2025,LEGGETT & PLATT INC,MO-JOP,WA-SEA,2000.46,5525.7,3073.82,1381.54
8/5/2025,M S W INC,MO-JOP,TX-ELP,938.7,3359.14,1640.97,1599.42
8/4/2025,BATLINER PAPERSTOCK - RECYCLING,MO-JOP,OK-TUL,73.95,527.16,117.05,193.54
8/4/2025,PAPERWORKS C/O TRANZACT,NE-KEA,MO-JOP,445.4,1249.09,835.46,409.98
8/4/2025,AXLE LOGISTICS LLC,AL-BIR,OK-TUL,711.56,1250,1150.52,346.07
